Category,Artist,Role,Status,Venue,Date,Video URL,Detail,Definition
Verified,"Turtle Smash, Fake Happy, The Dirty Little Rejects, 2000s Era Emo After Party",opener,verified,Cat's Cradle,"Sun, Jan 24",https://youtube.com/watch?v=rctzAtZSTvA,"channel match, Topic channel, 360 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Hudson Freeman,headliner,verified,Cat's Cradle Back Room,"Sat, Mar 28",https://youtube.com/watch?v=m1yidEG3nm4,"channel match, 241,329 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Ruby Plume,opener,verified,Cat's Cradle Back Room,"Sat, Mar 28",https://youtube.com/watch?v=v03fr0UR6MM,"channel match, Topic channel, 2,702 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,The Happy Fits,headliner,verified,Elevation 27,"Sat, Apr 25",https://youtube.com/watch?v=oKf11AW1RbM,"channel match, 254,459 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,BEL,opener,verified,Elevation 27,"Sat, Apr 25",https://youtube.com/watch?v=A1eqTn6au1Q,"channel match, 5,374 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Aly & AJ - Places to Run Tour 2026,headliner,verified,Heartwood Soundstage,"Wed, Mar 11",https://youtube.com/watch?v=O34fuj6MgmE,"channel match, 4,092 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Josh Meloy,headliner,verified,Heartwood Soundstage,"Thu, Mar 19",https://youtube.com/watch?v=mzaFp2CSa38,"channel match, Topic channel","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Trenton Fletcher,opener,verified,Heartwood Soundstage,"Thu, Mar 19",https://youtube.com/watch?v=-SS5ypVjGIA,"channel match, Topic channel, 692 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,4 Cryin' Out Loud,opener,verified,Heartwood Soundstage,"Fri, Mar 20",https://youtube.com/watch?v=LOcjP3bvy4A,VEVO,"Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,MOE. BORN TO FLY TOUR,headliner,verified,Heartwood Soundstage,"Wed, Mar 25",https://youtube.com/watch?v=xYvBRRuN7xQ,"channel match, 2,429 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Cassidy Daniels,headliner,verified,Heartwood Soundstage,"Fri, Mar 27",https://youtube.com/watch?v=kKayJiD37lw,"channel match, 9,757 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,saturdays at your place,headliner,verified,Heartwood Soundstage,"Sat, Mar 28",https://youtube.com/watch?v=fn1iLAC8vNY,"channel match, Topic channel, 121,687 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Easy Honey,headliner,verified,Heartwood Soundstage,"Thu, Apr 02",https://youtube.com/watch?v=i2TVUWMyBZw,"channel match, 6,426 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Thomas Allain,opener,verified,Heartwood Soundstage,"Thu, Apr 02",https://youtube.com/watch?v=WkxjXKFnyW0,"channel match, 85 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,The Ocho,headliner,verified,Heartwood Soundstage,"Fri, Apr 03",https://youtube.com/watch?v=MnSWR0_bz2Y,"channel match, 820 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Ethan Regan,headliner,verified,Heartwood Soundstage,"Wed, Apr 08",https://youtube.com/watch?v=-JBl3frx6fc,"channel match, VEVO, 67,409 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Abby Powledge,opener,verified,Heartwood Soundstage,"Wed, Apr 08",https://youtube.com/watch?v=DBd85tdhhNc,"channel match, Topic channel, 14,806 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Holy River,headliner,verified,Heartwood Soundstage,"Fri, Apr 10",https://youtube.com/watch?v=YnFXBlhJEAo,"VEVO, 669,912 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Dexter and The Moonrocks,headliner,verified,Heartwood Soundstage,"Fri, Apr 10",https://youtube.com/watch?v=t3yQfuZaQJg,"channel match, 721,777 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Phoneboy,headliner,verified,Heartwood Soundstage,"Sun, Apr 12",https://youtube.com/watch?v=BXx22pNY1tQ,"channel match, 781,400 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Heart Attack Man,opener,verified,Heartwood Soundstage,"Sun, Apr 12",https://youtube.com/watch?v=vz-kKRgqQAI,"channel match, 45,842 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Mountain Grass Unit,headliner,verified,Heartwood Soundstage,"Wed, Apr 15",https://youtube.com/watch?v=ZIIkLkYoQ1Y,"95,860 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Samantha Fish + Tab Benoit,headliner,verified,Heartwood Soundstage,"Thu, Apr 16",https://youtube.com/watch?v=TrMkAQSTuEs,"8,281 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,special guest BEL,opener,verified,Heartwood Soundstage,"Fri, Apr 17",https://youtube.com/watch?v=kGvHFYAaBOI,"channel match, 2,984 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Buko Boys,opener,verified,Heartwood Soundstage,"Thu, Apr 23",https://youtube.com/watch?v=HgzmfLHtxbk,"channel match, Topic channel, 525 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Pump Action and The Retrograde,headliner,verified,Heartwood Soundstage,"Fri, Apr 24",https://youtube.com/watch?v=olMJuOFW4c8,"channel match, 64,350 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,.memoria,opener,verified,Kings,"Wed, Apr 8",https://youtube.com/watch?v=m1UV1nec4L8,"480,845 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Kids That Fly,opener,verified,Local 506,"Sat, Apr 18",https://youtube.com/watch?v=8MRUIEQePLo,"channel match, 117,736 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Maris,headliner,verified,Local 506,"Sun, Apr 19",https://youtube.com/watch?v=v2VHCvagHWE,"channel match, VEVO, 21,868 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Hail The Sun,headliner,verified,The Orange Peel,"Sun, Apr 12",https://youtube.com/watch?v=GQZryuPliQ0,"channel match, 459,097 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,"Foxy Shazam, Makari, Mella",opener,verified,The Orange Peel,"Sun, Apr 12",https://youtube.com/watch?v=LuvN9DWwN48,"channel match, 50,152 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
Verified,Idle County / Charlie Paso / Hook of Moon,headliner,verified,The Pinhook,"Sat, Apr 04",https://youtube.com/watch?v=ZRplJ6uljLY,"channel match, Topic channel, 163 views","Scored 70+ gate score and passed verifier checks (views, channel, date). Assigned."
